FirstByte	LastByte	Type	Compressed	Description	Modified
000000	0001FF	ROM	No	FIG Header	6/24/2002
000200	000530	CODE	No	Unknown routines	4/21/2003
000531	00054D	???	No	Unknown data	4/21/2003
00054E	00066B	CODE	No	Unknown routines	5/22/2003
00066C	0006F7	CODE	No	Decompression routine	5/22/2003
0006F8	001979	CODE	No	Unknown routines	7/28/2003
00197A	00197D	DATA	No	Location Size Data	7/28/2003
00197E	00197E	---	No	UNUSED SPACE (1 byte)	7/28/2003
00197F	004766	CODE	No	Unknown routines	7/28/2003
004767	0047A6	???	No	Unknown 32 byte data	7/28/2003
0047A7	0047E6	CODE	No	Unknown routines	7/28/2003
0047E7	004826	???	No	Unknown 16 byte data	7/28/2003
004827	005D5A	CODE	No	Unknown routines	7/28/2003
005D5B	005D8A	PTR	No	Pointers to map sprites in memory	4/22/2003
005D8B	0080C9	CODE	No	Unknown routines	4/21/2003
0080CA	0080D3	DATA	No	"Movement Speed (00 No movement, 01 Slow movement, 02 Half-speed, 04 Walk, 08 Sprint, 10 Run, 20 Very fast (game starts to break))"	4/22/2003
0080D4	0080F3	DATA	No	Controls horizontal movement amount	4/22/2003
0080F4	008113	DATA	No	Controls horizontal movement direction	4/22/2003
008114	008133	DATA	No	Controls vertical movement amount	4/22/2003
008134	008153	DATA	No	Controls vertical movement direction	4/22/2003
008154	008163	???	No	Unknown data	4/21/2003
008164	0093D4	CODE	No	Unknown routines	7/29/2003
0093D5	0093FE	PTR2	No	"Double pointers to animated location graphics (+0093FF, first at 0093FF, 21 addresses), (+009401, first at 009401)"	8/6/2003
0093FF	00999E	PTR2	No	"Pointers to animated location graphics (+260200) with some extra data, accessed twice, 2 bytes of data followed by 8 bytes of pointers"	8/6/2003
00999F	0099AC	PTR2	No	Pointer offsets to Locations Layer 3 animation (+0099AD)	8/12/2003
0099AD	009A24	DATA	No	20 byte data controlling Layer 3 Locations animation	8/12/2003
009A25	009A9C	???	No	Unknown 12 byte data related to Locations	7/29/2003
009A9D	00CE72	CODE	No	Unknown routines	7/29/2003
00CE73	00CE7C	???	No	Unknown data	4/21/2003
00CE7D	00CE94	???	No	Unknown data	4/21/2003
00CE95	00CF39	CODE	No	Unknown routines	4/21/2003
00CF3A	00CFB9	???	No	Appears to have something to do with upper half of actors	4/22/2003
00CFBA	00D039	???	No	Appears to have something to do with lower half of actors	4/22/2003
00D03A	00D2F1	GFX	No	"Offsets of Map Character Sprite Parts (2x3, 2 bytes each)"	6/24/2002
00D2F2	00D43B	GFX	No	Pointers to Map Character Graphics (2 bytes each) (+150200)	6/24/2002
00D43C	00D585	GFX	No	Bank pointers and Number of Bytes to Copy for Map Character Gfx (2 bytes each)	6/24/2002
00D586			No		6/24/2002
00D813	00E19F	---	No	UNUSED SPACE (2445 bytes)	6/24/2002
